PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
131,141,,BT Studio,Piper J3C-65 Cub,0,59,Piston GA,P,,19 Apr 2024,408,0.000
132,142,,AzurPoly,North American Rockwell OV-10 Bronco,0,59,Military (Modern),P,,15 Apr 2024,412,0.000
133,143,,Virtavia,Douglas A-4 Skyhawk,0,61,Military (Modern),P,,4 Apr 2024,423,0.000
134,144,,HCG,Mosquito XE,0,61,Helicopter,F,,2 Apr 2024,425,0.000
135,145,,Leonardo,Maddog MD-83/88,0,61,Airliner,P,,2 Apr 2024,425,0.000
136,146,,iniBuilds,Airbus A320neo (V2),0,62,Airliner,F,,26 Mar 2024,432,0.000
137,147,,Flying Fries,Hughes XF-11,0,64,Warbird (Classic),P,,13 Mar 2024,445,0.000
138,148,,Carenado,Piper PA28R-201 Arrow III,0,64,Piston GA,P,,14 Mar 2024,444,0.000
139,149,,TFDi,McDonnell Douglas MD-11,0,64,Airliner,P,,12 Mar 2024,446,0.000
140,150,,iniBuilds / Microsoft,Bell 47J Ranger,0,65,Helicopter,P,,5 Mar 2024,453,0.000
141,151,,Flight Replicas,de Havilland DH.82 Fox Moth,0,65,Vintage / Biplane,P,,5 Mar 2024,453,0.000
142,152,,AzurPoly,Bede BD-5J,0,66,Ultralight / Sports,P,,2 Mar 2024,456,0.000
143,153,,Microsoft,Ornithopter (Dune Expansion DLC),0,66,Other,F,,2 Mar 2024,456,0.000
144,154,,Golden Age Simulations,"Boeing Stearman Model 75
(PT-17 / PT-13)",0,67,Vintage / Biplane,P,,21 Feb 2024,466,0.000
145,155,,CJ Simulations,Dassault Rafale (R-FAL),0,68,Military (Modern),P,,12 Feb 2024,475,0.000
55,156,,Cockspur,Embraer Phenom 100,0,71,Business Jet,P,,27 Jan 2024,491,0.000
146,157,,A1R Design,Shavrov Sh-2 amphibian,0,71,Seaplane,P,,27 Jan 2024,491,0.000
147,158,,Cera Simulations,Mil Mi-17,0,71,Helicopter,P,,27 Jan 2024,491,0.000
148,159,,LatinVFR,Airbus A320neo,0,72,Airliner,P,,16 Jan 2024,502,0.000
149,160,,PILOT’S,de Havilland Canada DHC-7 Dash 7,0,74,Turboprop,P,,7 Jan 2024,511,0.000
150,161,,Lionheart Creations,Ballanca Super Viking,0,75,Piston GA,P,,25 Dec 2023,524,0.000
151,162,,FlightSim Studio,Tecnam P2012 Traveller,0,76,Piston GA,P,,21 Dec 2023,528,0.000
152,163,,Microsoft / Carenado,Cessna T207A Turbo Stationair ,0,76,Piston GA,P,,24 Dec 2023,525,0.000
153,164,,Ant’s Airplanes,CAC-25 Winjeel,0,77,Vintage / Biplane,P,,15 Dec 2023,534,0.000
154,165,,Heatblur / IndiaFoxtEcho,F-14 Tomcat A/B,0,77,Military (Modern),P,,11 Dec 2023,538,0.000
155,166,,Horizon Simulations,Boeing 787-9,0,78,Airliner,F,,6 Dec 2023,543,0.000
156,167,,iniBuilds / Microsoft,Mitsubishi MU-2,0,78,Turboprop,P,,6 Dec 2023,543,0.000
