PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
249,256,,Orbx ,PAC P-750 XSTOL,0,126,Turboprop,P,,3 Jan 2023,880,0.000
250,257,,V.G.P,PowerSTOL,0,126,Piston GA,P,,3 Jan 2023,880,0.000
251,258,,Microsoft / BlueMesh,Ryan NYP Spirit of St. Louis,0,126,Vintage / Biplane,F,,2 Jan 2023,881,0.000
252,259,,FlyInside ,Bell 206 JetRanger,0,128,Helicopter,P,,25 Dec 2022,889,0.000
253,260,,CJ Simulations,Eurofighter Typhoon,0,128,Military (Modern),P,,24 Dec 2022,890,0.000
254,261,,Aeroplane Heaven,de Havilland Canada DHC-1 Chipmunk,0,129,Piston GA,P,,16 Dec 2022,898,0.000
255,262,,OzWookiee,Grumman Goose G21-A Redux II,0,129,Vintage / Biplane,F,,17 Dec 2022,897,0.000
256,263,,Captain Sim,Boeing 777-300ER,0,130,Airliner,P,,9 Dec 2022,905,0.000
257,264,,iniBuilds,Curtiss P-40F Warhawk,0,130,Piston GA,P,,7 Dec 2022,907,0.000
259,265,,Asobo / FlightSim Studio,DG Aviation DG1001E neo,0,133,Glider,F,,16 Nov 2022,928,0.000
261,266,,Microsoft / Nemeth,Bell 407,0,133,Helicopter,F,,14 Nov 2022,930,0.000
27,267,,Aeroplane Heaven,Douglas DC-3 (with & without mod),0,134,Vintage / Biplane,F,,12 Nov 2022,932,0.000
263,268,,Microsoft / BlueMesh,"Hughes H-4 Hercules ""Spruce Goose""",0,134,Military (Modern),F,,12 Nov 2022,932,0.000
264,269,,Headwind,Airbus A330-900,0,134,Airliner,F,,12 Nov 2022,932,0.000
265,270,,P McDonell & Philippe Wallaert,Avro Canada CF-105 Arrow Mk.2,0,134,Military (Modern),F,,9 Nov 2022,935,0.000
266,271,,Iris Simulations,Pilatus PC-21,0,134,Turboprop,P,,7 Nov 2022,937,0.000
267,272,,Asobo,Junkers F13,0,134,Vintage / Biplane,P,,7 Nov 2022,937,0.000
268,273,,Cockspur,Cessna 510 Mustang,0,137,Business Jet,P,,19 Oct 2022,956,0.000
269,274,,Black Square,King Air 350 (Steam Gauge Overhaul),0,138,Turboprop,P,,12 Oct 2022,963,0.000
270,275,,Aerial Sim,F-117A Nighthawk,0,138,Military (Modern),P,,13 Oct 2022,962,0.000
271,276,,Asobo / Carenado,Cessna 195 Businessliner,0,139,Piston GA,P,,4 Oct 2022,971,0.000
272,277,,HPG,Hot Air Balloon,0,139,Other,P,,6 Oct 2022,969,0.000
273,278,,IndiaFoxtEcho,Leonardo M-346,0,139,Military (Modern),P,,4 Oct 2022,971,0.000
276,279,,LatinVFR,Airbus A321neo (with & without mods),0,142,Airliner,P,,14 Sep 2022,991,0.000
277,280,,LatinVFR,Airbus A319,0,142,Airliner,P,,14 Sep 2022,991,0.000
278,281,,Delta Simulations (Destroyer121),Boeing C-17 Globemaster III,0,142,Military (Modern),F,,14 Sep 2022,991,0.000
279,282,,Roland Laborie,Canadair CL-215,0,142,Seaplane,F,,14 Sep 2022,991,0.000
280,283,,Deimos Inc.,Air Creation Tanarg 912,0,142,Ultralight / Sports,P,,12 Sep 2022,993,0.000
282,284,,Lionheart Creations,LearAvia Lear Fan 2100 ,0,143,Turboprop,P,,6 Sep 2022,999,0.000
283,285,,Hangar Studios 713,Camair 480 Twin Navion,0,144,Piston GA,P,,2 Sep 2022,1003,0.000
284,286,,HCG,Guimbal Cabri G2 ,0,144,Helicopter,F,,2 Sep 2022,1003,0.000
285,287,,WB-Sim,Cessna 172SP Classic Enhancement,0,145,Piston GA,P,,26 Aug 2022,1010,0.000
286,288,,Microsoft / Carenado,Beechcraft Bonanza V35B V-Tail,0,146,Piston GA,P,,20 Aug 2022,1016,0.000
287,289,,Flight Replicas,Piper L-4 Grasshopper,0,146,Piston GA,P,,15 Aug 2022,1021,0.000
288,290,,Aeroplane Heaven,Globe Swift GC-1A,0,147,Piston GA,P,,13 Aug 2022,1023,0.000
289,291,,Got Friends,Gee Bee R3 Special,0,149,Ultralight / Sports,P,,26 Jul 2022,1041,0.000
290,292,,Top Mach Studio,F-22 Raptor,0,149,Military (Modern),P,,26 Jul 2022,1041,0.000
291,293,,Black Square,"Cessna C208B Grand Caravan
(Steam Gauge Overhaul)",0,150,Turboprop,P,,24 Jul 2022,1043,0.000
292,294,,Got Gravel,Zlin & Gravel Savage Grravel,0,151,Piston GA,F,,14 Jul 2022,1053,0.000
293,295,,Deejing ,B&F Technik Vertriebs FK9 Mark 4,0,151,Piston GA,F,,14 Jul 2022,1053,0.000
294,296,,Asobo,L-39 Albatross,0,152,Military (Modern),P,,7 Jul 2022,1060,0.000
295,297,,Deimos Inc.,MiG 29 Fulcrum,0,152,Military (Modern),P,,7 Jul 2022,1060,0.000
297,298,,Black Square,Velocity XL,0,154,Piston GA,P,,25 Jun 2022,1072,0.000
298,299,,AzurPoly,Socata TB-30 Epsilon,0,154,Piston GA,P,,25 Jun 2022,1072,0.000
299,300,,MADolo Simulations,Alexander Schleicher AS33-me,0,154,Glider,F,,20 Jun 2022,1077,0.000
300,301,,Sim Skunk Works,Aeritalia-Fiat G-91,0,154,Military (Modern),P,,20 Jun 2022,1077,0.000
301,302,,Asobo,DA-77 Pelican,0,155,Other,F,,16 Jun 2022,1081,0.000
302,303,,Black Box Sim,Scottish Aviation Bulldog,0,155,Piston GA,P,,14 Jun 2022,1083,0.000
303,304,,Carenado,Waco YMF 5,0,144,Vintage / Biplane,P,,3 Jun 2022,1003,0.000
304,305,,FSReborn,Sting S4,0,144,Ultralight / Sports,P,,3 Jun 2022,1003,0.000
305,306,,Asobo,P51D Mustang,0,144,Warbird (Classic),P,,2 Jun 2022,1004,0.000
306,307,,IndiaFoxtEcho,Goshawk T-45,0,144,Military (Modern),P,,2 Jun 2022,1004,0.000
307,308,,Asobo,SR-72 Darkstar  (Top Gun DLC | fictional),0,145,Military (Modern),F,,26 May 2022,1011,0.000
308,309,,Asobo,Gee Bee R-2 & Z,0,145,Turboprop,P,,26 May 2022,1011,0.000
309,310,,Asobo,Aero L-39 Albatross,0,145,Military (Modern),P,,26 May 2022,1011,0.000
319,311,,Big Radials,Curtiss P40-B Tomahawk,0,162,Warbird (Classic),P,,28 Apr 2022,1130,0.000
310,312,,FrenchVFR,PBY Catalina,0,146,Seaplane,F,,22 May 2022,1015,0.000
311,313,,Asobo,JMB VL3 (with & without mods),0,146,Piston GA,F,,20 May 2022,1017,0.000
312,314,,BRsim Designs,Bonanza H35 V-Tail,0,146,Piston GA,P,,22 May 2022,1015,0.000
313,315,,GotGravel,Zlin Savage Carbon,0,147,Piston GA,F,,12 May 2022,1025,0.000
314,316,,BT Studio,Kitfox S7 STi,0,147,Piston GA,P,,11 May 2022,1026,0.000
315,317,,Asobo,Zlin Savage Cub (with & without mod),0,147,Piston GA,F,,10 May 2022,1027,0.000
316,318,,Wing42,Blériot XI (any variant),0,147,Vintage / Biplane,P,,10 May 2022,1027,0.000
70,319,,Black Box Sim,BN2A Trislander,0,148,Piston GA,P,,4 May 2022,1033,0.000
71,320,,NextGen Simulations,Embraer EMB 110 Bandeirante,0,148,Airliner,P,,4 May 2022,1033,0.000
72,321,,Asobo ,Boeing 787-10 Dreamliner,0,148,Airliner,D,,5 May 2022,1032,0.000
317,322,,Asobo ,Boeing 737 Max,0,148,Airliner,F,,5 May 2022,1032,0.000
318,323,,Leonardo,Maddog MD-82,0,148,Airliner,P,,3 May 2022,1034,0.000
73,324,,Asobo,North American Aviation T-6 Texan,0,149,Piston GA,F,,25 Apr 2022,1042,0.000
320,325,,Big Radials,Nieuport 17,0,149,Vintage / Biplane,P,,28 Apr 2022,1039,0.000
321,326,,Carenado,Cessna CT182-T Skylane,0,149,Piston GA,P,,25 Apr 2022,1042,0.000
351,327,,Aeroplane Heaven,Spitfire Mk. 1A,0,166,Warbird (Classic),P,,30 Mar 2022,1159,0.000
322,328,,SimWorks Studio,Vans RV-14/14A,0,150,Ultralight / Sports,P,,22 Apr 2022,1045,0.000
323,329,,Lionheart Creations,Bucker Bu-131 Jungmann,0,150,Vintage / Biplane,P,,19 Apr 2022,1048,0.000
324,330,,Aeroplane Heaven,Electra 10-A,0,150,Vintage / Biplane,P,,19 Apr 2022,1048,0.000
325,331,,HPG,Airbus H135,0,151,Helicopter,F,,17 Apr 2022,1050,0.000
74,332,,Wing42,Boeing 247D,0,152,Vintage / Biplane,P,,4 Apr 2022,1063,0.000
75,333,,Got Friends,Discus 2c [Free & Premium],0,152,Glider,B,,7 Apr 2022,1060,0.000
326,334,,AzurPoly,Fouga CM.170 Magister,0,152,Military (Modern),P,,7 Apr 2022,1060,0.000
327,335,,VirtualCol,Embraer 170/175,0,152,Airliner,P,,6 Apr 2022,1061,0.000
328,336,,Carenado,Cessna C170-B,0,152,Piston GA,P,,5 Apr 2022,1062,0.000
329,337,,Asobo,Icon A5,0,152,Piston GA,F,,7 Apr 2022,1060,0.000
330,338,,SimWorks Studio,Zenith CH701 STOL,0,152,Piston GA,P,,6 Apr 2022,1061,0.000
331,339,,Asobo,Pilatus PC-6 Porter (+GotGravel mod),0,152,Turboprop,F,,6 Apr 2022,1061,0.000
332,340,,Asobo,Volocity (Volocopter),0,152,Helicopter,F,,6 Apr 2022,1061,0.000
333,341,,TouchingCloud,DG-808S,0,152,Glider,F,,7 Apr 2022,1060,0.000
334,342,,Asobo,King Air 350i,0,152,Turboprop,F,,10 Apr 2022,1057,0.000
335,343,,Asobo,Beechcraft / Textron Baron G58,0,152,Piston GA,D,,7 Apr 2022,1060,0.000
336,344,,Flysimware,Grumman G44A Widgeon,0,152,Piston GA,P,,7 Apr 2022,1060,0.000
337,345,,Asobo ,Boeing 747,0,152,Airliner,F,,6 Apr 2022,1061,0.000
338,346,,Captain Sim,Boeing 777-200ER,0,152,Airliner,P,,6 Apr 2022,1061,0.000
76,347,,Red Wing,Lockheed L-1049 Super-Constellation,0,153,Airliner,P,,2 Apr 2022,1065,0.000
77,348,,Asobo,"CubCrafters XCub
(stock and with Bush League mod)",0,153,Piston GA,F,,30 Mar 2022,1068,0.000
340,349,,Asobo,"Daher TBM 930
(inc. with improvement mod)",0,153,Turboprop,F,,28 Mar 2022,1070,0.000
342,350,,Asobo,Robin DR400-180,0,153,Piston GA,F,,28 Mar 2022,1070,0.000
343,351,,A1R Design,Ryan ST-A Special,0,153,Vintage / Biplane,P,,30 Mar 2022,1068,0.000
344,352,,DC Designs ,Concorde,0,153,Airliner,P,,30 Mar 2022,1068,0.000
346,353,,GotGravel,Vertigo,0,153,Turboprop,F,,30 Mar 2022,1068,0.000
347,354,,Asobo,Aviat Pitts Special,0,153,Ultralight / Sports,F,,31 Mar 2022,1067,0.000
348,355,,Rotorsim Pilot,H125,0,153,Helicopter,F,,1 Apr 2022,1066,0.000
349,356,,Dave Garwood,DeHaviiland DH89 Dragon Rapide,0,153,Vintage / Biplane,F,,2 Apr 2022,1065,0.000
350,357,,Microsoft ,Dornier Do J Wal,0,153,Seaplane,P,,2 Apr 2022,1065,0.000
352,358,,Aeroplane Heaven,P51D Mustang,0,153,Warbird (Classic),P,,30 Mar 2022,1068,0.000
353,359,,Asobo,Diamond DA40 (with & without mod),0,153,Piston GA,F,,28 Mar 2022,1070,0.000
354,360,,Asobo,Top Rudder 103 Solo Aerolite,0,153,Ultralight / Sports,P,,29 Mar 2022,1069,0.000
355,361,,Asobo,Junkers JU52,0,153,Vintage / Biplane,P,,28 Mar 2022,1070,0.000
356,362,,Rotorsim Pilot,Robinson R44,0,153,Helicopter,F,,29 Mar 2022,1069,0.000
357,363,,Asobo,Zlin Shock Ultra,0,153,Piston GA,D,,29 Mar 2022,1069,0.000
358,364,,Aeroplane Heaven,Cessna 140,0,153,Piston GA,P,,28 Mar 2022,1070,0.000
359,365,,Asobo,Beechcraft Staggerwing,0,153,Vintage / Biplane,P,,28 Mar 2022,1070,0.000
360,366,,Asobo,F-18 Hornet,0,153,Military (Modern),F,,28 Mar 2022,1070,0.000
361,367,,Sim Skunk Works,TF-104 G Starfighter,0,153,Military (Modern),P,,28 Mar 2022,1070,0.000
362,368,,Fsadnis ,Hurricane,0,153,Warbird (Classic),F,,28 Mar 2022,1070,0.000
363,369,,Iris Simulations,Jabiru J160 / 170,0,153,Piston GA,P,,28 Mar 2022,1070,0.000
364,370,,Top Mach Studio,F-22 Raptor,0,153,Military (Modern),F,,28 Mar 2022,1070,0.000
365,371,,Ants Airplanes,Drifter Ultralight,0,153,Ultralight / Sports,P,,28 Mar 2022,1070,0.000
366,372,,Asobo,Flight Design CTSL,0,153,Piston GA,F,,28 Mar 2022,1070,0.000
30,373,,FlyByWire,A320 (NX),0,154,Airliner,F,,27 Mar 2022,1071,0.000
78,374,,Asobo,Cessna Longitude,0,154,Business Jet,D,,27 Mar 2022,1071,0.000
79,375,,IndiaFoxtEcho,F-35 Lightning II,0,154,Military (Modern),P,,27 Mar 2022,1071,0.000
80,376,,Asobo,Cessna 172 (with & without Improvement / Bush Kit / Turbo Diesel / Tail Dragger mods),0,154,Piston GA,F,,27 Mar 2022,1071,0.000
367,377,,PMDG,Douglas DC-6,0,154,Vintage / Biplane,P,,27 Mar 2022,1071,0.000
369,378,,Black Box Sim,Cessna L-19 Bird Dog,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
370,379,,MilViz / Blackbird,Pilatus PC-6 Porter ,0,154,Turboprop,P,,27 Mar 2022,1071,0.000
371,380,,Parallel 42,Freedom Fox / Fox2,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
372,381,,AT Simulations,Focke-Wulf / Piaggio 149D,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
373,382,,MilViz / Blackbird,FG-1D Corsair,0,154,Warbird (Classic),P,,27 Mar 2022,1071,0.000
374,383,,Carenado,Mooney M20R Ovation,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
375,384,,Aerosoft,DHC-6 Twin Otter,0,154,Turboprop,P,,27 Mar 2022,1071,0.000
376,385,,Carenado,Piper PA44 Seminole,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
380,386,,Asobo / WT,Cessna Citation CJ4,0,154,Business Jet,F,,27 Mar 2022,1071,0.000
381,387,,Got Friends,EA-7 Edgley Optica,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
382,388,,Big Radials,Grumman JRF-6B Goose,0,154,Vintage / Biplane,P,,27 Mar 2022,1071,0.000
383,389,,FlyInside,Bell 47G,0,154,Helicopter,P,,27 Mar 2022,1071,0.000
384,390,,DC Designs,Boeing Stearman PT-17,0,154,Vintage / Biplane,P,,27 Mar 2022,1071,0.000
385,391,,Aerosoft ,Bombardier CRJ (any variant),0,154,Airliner,P,,27 Mar 2022,1071,0.000
386,392,,IndiaFoxtEcho,Aermacchi MB-339 ,0,154,Military (Modern),P,,27 Mar 2022,1071,0.000
387,393,,Just Flight,Piper Warrior II,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
388,394,,Carenado,C337H Skymaster,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
389,395,,Got Friends,Monster NXCub,0,154,Piston GA,F,,27 Mar 2022,1071,0.000
390,396,,Mario Noriega,Caproni-Vizzola C-22J Ventura,0,154,Business Jet,P,,27 Mar 2022,1071,0.000
391,397,,DC Designs,F-14 Tomcat,0,154,Military (Modern),P,,27 Mar 2022,1071,0.000
392,398,,SC Designs,F-16 Falcon,0,154,Warbird (Classic),P,,27 Mar 2022,1071,0.000
393,399,,DC Designs,F-15 Eagle,0,154,Military (Modern),P,,27 Mar 2022,1071,0.000
394,400,,Salty Simulations,Boeing B747-8,0,154,Airliner,F,,27 Mar 2022,1071,0.000
395,401,,Asobo,Airbus A320neo,0,154,Airliner,F,,27 Mar 2022,1071,0.000
396,402,,Heavy Division,Boeing B78X,0,154,Airliner,F,,27 Mar 2022,1071,0.000
397,403,,Deejing ,Vans RV-7/7A,0,154,Ultralight / Sports,F,,27 Mar 2022,1071,0.000
398,404,,Carenado,Piper PA-34 Seneca V,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
399,405,,Iris Simulations,Grob Tutor,0,154,Piston GA,P,,27 Mar 2022,1071,0.000
,,,,,,,,,,,,
,,,,Total VOTES,157,33,,,,⬅️ + MISSING VOTES,,
,,,,Total PARTICIPANTS,19,,,,,,,
,,,,Participants (actual),19,,,,,,,
,,,,Total AIRCRAFT,405,,,,,,,
