PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
159,142,,AzurPoly,Bede BD-5J,0,66,Ultralight / Sports,P,,2 Mar 2024,456,0.000
160,143,,Microsoft,Ornithopter (Dune Expansion DLC),0,66,Other,F,,2 Mar 2024,456,0.000
62,144,,Golden Age Simulations,"Boeing Stearman Model 75
(PT-17 / PT-13)",0,67,Vintage / Biplane,P,,21 Feb 2024,466,0.000
161,145,,CJ Simulations,Dassault Rafale (R-FAL),0,68,Military (Modern),P,,12 Feb 2024,475,0.000
163,146,,A1R Design,Shavrov Sh-2 amphibian,0,71,Seaplane,P,,27 Jan 2024,491,0.000
164,147,,Cera Simulations,Mil Mi-17,0,71,Helicopter,P,,27 Jan 2024,491,0.000
165,148,,LatinVFR,Airbus A320neo,0,72,Airliner,P,,16 Jan 2024,502,0.000
65,149,,PILOT’S,de Havilland Canada DHC-7 Dash 7,0,74,Turboprop,P,,7 Jan 2024,511,0.000
166,150,,Lionheart Creations,Ballanca Super Viking,0,75,Piston GA,P,,25 Dec 2023,524,0.000
167,151,,FlightSim Studio,Tecnam P2012 Traveller,0,76,Piston GA,P,,21 Dec 2023,528,0.000
168,152,,Microsoft / Carenado,Cessna T207A Turbo Stationair ,0,76,Piston GA,P,,24 Dec 2023,525,0.000
67,153,,Ant’s Airplanes,CAC-25 Winjeel,0,77,Vintage / Biplane,P,,15 Dec 2023,534,0.000
68,154,,Heatblur / IndiaFoxtEcho,F-14 Tomcat A/B,0,77,Military (Modern),P,,11 Dec 2023,538,0.000
169,155,,Horizon Simulations,Boeing 787-9,0,78,Airliner,F,,6 Dec 2023,543,0.000
170,156,,iniBuilds / Microsoft,Mitsubishi MU-2,0,78,Turboprop,P,,6 Dec 2023,543,0.000
171,157,,Heaven Designs,HVN-4B Global Hawk,0,78,Military (Modern),P,,6 Dec 2023,543,0.000
172,158,,Taog’s Hangar,SA315B Lama,0,79,Helicopter,P,,29 Nov 2023,550,0.000
173,159,,Flight Replicas,Spitfire Mk.Ia / Mk.IIa,0,79,Warbird (Classic),P,,1 Dec 2023,548,0.000
174,160,,iniBuilds / Microsoft,Saab B-17,0,79,Vintage / Biplane,P,,1 Dec 2023,548,0.000
175,161,,Ariebaba,North American Rockwell OV-10 Bronco,0,79,Warbird (Classic),F,,27 Nov 2023,552,0.000
176,162,,Fsadnis ,Messerschmitt Me 262 A-1a,0,79,Warbird (Classic),F,,27 Nov 2023,552,0.000
177,163,,Fsadnis ,Avro Vulcan B2,0,79,Military (Modern),F,,27 Nov 2023,552,0.000
178,164,,VrilleAPlat,Cessna A-37B Dragonfly,0,79,Military (Modern),F,,27 Nov 2023,552,0.000
179,165,,Scheny,Beast Horus Microjet,0,79,Ultralight / Sports,F,,27 Nov 2023,552,0.000
180,166,,Got Friends,Fokker Dr.1,0,81,Vintage / Biplane,F,,13 Nov 2023,566,0.000
70,167,,Black Box Sim,Shorts SD-30 Series,0,82,Turboprop,P,,6 Nov 2023,573,0.000
181,168,,HPG,Airbus H160,0,84,Helicopter,P,,25 Oct 2023,585,0.000
20,169,,Black Square,Daher TBM 850,0,85,Turboprop,P,,16 Oct 2023,594,0.000
